Sáb Out 28 19:22:29 BRST 2017
traceroute to master.uerj.br (152.92.1.9), 30 hops max, 60 byte packets
 1  192.168.0.1 (192.168.0.1)  2.842 ms  4.466 ms *
 2  10.10.128.1 (10.10.128.1)  32.818 ms  32.821 ms  32.824 ms
 3  bd040072.virtua.com.br (189.4.0.114)  32.817 ms  114.633 ms  32.800 ms
 4  as1916.pr.ix.br (200.219.140.5)  38.741 ms  38.750 ms  38.745 ms
 5  sp2-pr-oi.bkb.rnp.br (200.143.252.61)  39.514 ms  40.102 ms  41.710 ms
 6  rj-sp2-oi.bkb.rnp.br (200.143.253.222)  45.872 ms  38.086 ms  48.672 ms
 7  rj-rederio.bkb.rnp.br (200.143.254.137)  49.691 ms  50.367 ms  49.915 ms
 8  200.20.96.7 (200.20.96.7)  55.174 ms  55.185 ms  55.168 ms
 9  200.20.96.9 (200.20.96.9)  55.342 ms  55.127 ms  55.316 ms
10  200.20.96.11 (200.20.96.11)  57.640 ms  57.240 ms  52.135 ms
11  200.20.96.13 (200.20.96.13)  39.267 ms  35.289 ms  41.868 ms
12  200.20.98.10 (200.20.98.10)  40.852 ms  39.596 ms  33.876 ms
13  master.uerj.br (152.92.1.9)  44.670 ms  44.554 ms  44.433 ms
