Sáb Out 28 19:21:35 BRST 2017
traceroute to www.pop-ba.rnp.br (200.128.0.18), 30 hops max, 60 byte packets
 1  192.168.0.1 (192.168.0.1)  1097.043 ms  1097.011 ms *
 2  10.10.128.1 (10.10.128.1)  1131.230 ms  1131.280 ms  1131.275 ms
 3  bd040072.virtua.com.br (189.4.0.114)  1131.242 ms  1131.210 ms  1131.207 ms
 4  as1916.pr.ix.br (200.219.140.5)  1131.178 ms  1131.213 ms  1131.208 ms
 5  sp2-pr-oi.bkb.rnp.br (200.143.252.61)  1131.207 ms  1131.192 ms  1131.191 ms
 6  rj-sp2-oi.bkb.rnp.br (200.143.253.222)  1131.185 ms  1703.227 ms  1703.049 ms
 7  es-rj-oi.bkb.rnp.br (200.143.252.86)  1703.044 ms  1702.984 ms  1702.950 ms
 8  200.143.253.205 (200.143.253.205)  1702.948 ms ba-es-oi.bkb.rnp.br (200.143.252.94)  1702.935 ms  1702.923 ms
 9  lanba-ba.bkb.rnp.br (200.143.254.154)  1702.939 ms  1702.925 ms  1702.914 ms
10  200.128.0.97 (200.128.0.97)  1702.862 ms  1702.852 ms  1702.811 ms
11  fw.pop-ba.rnp.br (200.128.6.253)  1702.796 ms  115.622 ms  119.703 ms
12  wiki.pop-ba.rnp.br (200.128.0.18)  146.245 ms  153.513 ms  159.003 ms
